2025-07-14T06:00:05.112Z | FW-2001 | INFO | FW-CORE-01 | 10.10.1.45 | 10.10.50.10 | 54321 | 443 | TCP | ALLOW | RULE-INT-001 | 4096 | HTTPS to intranet portal. Normal business traffic.
2025-07-14T06:17:18.441Z | FW-2014 | HIGH | FW-CORE-01 | 91.108.56.130 | 10.10.20.10 | 0 | 22 | TCP | DENY | RULE-EXT-SSH-BLOCK | 0 | Inbound SSH attempt from Telegram infrastructure IP. GEO: IR-Tehran. Blocked. TI match: MISP-ORANGE
2025-07-14T06:18:34.334Z | FW-2015 | CRITICAL | FW-CORE-02 | 10.10.6.45 | 203.0.113.55 | 50100 | 21 | TCP | DENY | RULE-FTP-BLOCK | 0 | Outbound FTP attempt to external host. Protocol blocked per policy. Endpoint: WS-FINANCE-008. POSSIBLE EXFIL.
2025-07-14T06:18:34.334Z | FW-2015 | CRITICAL | FW-CORE-02 | 10.10.6.45 | 203.0.113.55 | 50100 | 21 | TCP | DENY | RULE-FTP-BLOCK | 0 | Outbound FTP attempt to external host. Protocol blocked per policy. Endpoint: WS-FINANCE-008. POSSIBLE EXFIL.
2025-07-14T06:19:55.009Z | FW-2016 | WARNING | FW-CORE-01 | 172.16.50.3 | 10.10.20.1 | 44001 | 389 | TCP | ALLOW | RULE-LDAP-INT | 256 | LDAP query from non-standard host to DC. Possible recon. Host: 172.16.50.3 unregistered.
2025-07-14T06:21:00.334Z | FW-2017 | HIGH | FW-CORE-01 | 10.10.5.201 | 10.10.20.16 | 49801 | 445 | TCP | ALLOW | RULE-INT-SMB | 1024 | SMB lateral movement pattern detected. SRV-BACKUP-01 connecting to multiple DCs in sequence. Rule: LATERAL-MOVE-DETECT
2025-07-14T06:22:14.882Z | FW-2018 | INFO | FW-CORE-01 | 10.10.1.88 | 8.8.4.4 | 50002 | 53 | UDP | ALLOW | RULE-DNS-001 | 96 | DNS query. Normal.
2025-07-14T06:23:31.441Z | FW-2019 | CRITICAL | FW-DMZ-01 | 10.10.100.5 | 185.234.218.55 | 49000 | 443 | TCP | DENY | RULE-EGRESS-BLOCK | 51200 | Outbound to known bulletproof hosting provider. Possible C2. Size: 50KB. DMZ server: WEB-SRV-DMZ-01.
2025-07-14T06:24:45.334Z | FW-2020 | HIGH | FW-CORE-02 | 198.18.55.100 | 10.10.0.1 | 0 | 0 | ICMP | DENY | RULE-PORTSCAN-DETECT | 0 | Port scan detected from external IP. Ports scanned: 22,23,80,443,3389,8080,8443. GEO: BR-SaoPaulo. Action: TEMP_BLOCK
2025-07-14T06:24:45.334Z | FW-2020 | HIGH | FW-CORE-02 | 198.18.55.100 | 10.10.0.1 | 0 | 0 | ICMP | DENY | RULE-PORTSCAN-DETECT | 0 | Port scan detected from external IP. Ports scanned: 22,23,80,443,3389,8080,8443. GEO: BR-SaoPaulo. Action: TEMP_BLOCK
2025-07-14T06:26:00.112Z | FW-2001 | INFO | FW-CORE-01 | 10.10.3.200 | 10.10.50.15 | 51801 | 8443 | TCP | ALLOW | RULE-MGMT-ALLOW | 2048 | HTTPS monitoring agent callback. Normal.
2025-07-14T06:27:22.334Z | FW-2021 | WARNING | FW-CORE-01 | 10.10.8.77 | 198.51.100.240 | 55003 | 4444 | TCP | DENY | RULE-SUSPICIOUS-PORT | 0 | 3rd outbound attempt to port 4444 in 21 min. Auto-escalated. Endpoint: WS-DEV-044. INCIDENT: INC-20250714-0075
2025-07-14T06:28:40.778Z | FW-2022 | HIGH | FW-BRANCH-05 | 192.168.10.55 | 10.10.20.10 | 57999 | 88 | TCP | ALLOW | RULE-KERBEROS | 128 | Kerberos TGT request from branch. Flagged: new device + off-hours. Correlates with EVT-1015.
2025-07-14T06:30:00.441Z | FW-2023 | CRITICAL | FW-CORE-01 | 10.10.7.150 | 203.0.113.88 | 49901 | 443 | TCP | DENY | RULE-DLP-BLOCK | 204800 | DLP block: 200KB outbound HTTPS. Second attempt in 15 min. Escalated. INCIDENT: INC-20250714-0078
2025-07-14T06:31:15.334Z | FW-2024 | WARNING | FW-DMZ-01 | 10.10.100.12 | 8.8.8.8 | 44322 | 53 | UDP | ALLOW | RULE-DNS-001 | 512 | DNS TXT record query. High freq: 300 queries in 5 min. Possible DNS tunneling indicator.
2025-07-14T06:31:15.334Z | FW-2024 | WARNING | FW-DMZ-01 | 10.10.100.12 | 8.8.8.8 | 44322 | 53 | UDP | ALLOW | RULE-DNS-001 | 512 | DNS TXT record query. High freq: 300 queries in 5 min. Possible DNS tunneling indicator.
2025-07-14T06:33:00.009Z | FW-2025 | INFO | FW-CORE-02 | 10.10.4.55 | 10.10.50.20 | 63001 | 443 | TCP | ALLOW | RULE-INT-001 | 1536 | HTTPS to internal portal. Normal.
2025-07-14T06:34:22.556Z | FW-2026 | HIGH | FW-CORE-01 | 10.10.5.201 | 10.10.20.17 | 49802 | 445 | TCP | ALLOW | RULE-INT-SMB | 2048 | SMB: SRV-BACKUP-01 connecting to 3rd DC in 13 min. Lateral movement alert escalated to SOC.
2025-07-14T06:36:00.334Z | FW-2027 | CRITICAL | FW-CORE-02 | 103.25.206.88 | 10.10.100.8 | 0 | 80 | TCP | DENY | RULE-WAF-BLOCK | 0 | WAF blocked SQL injection attempt on public web server. Signature: SQLI-UNION-SELECT. GEO: IN-Mumbai.
2025-07-14T06:36:00.334Z | FW-2027 | CRITICAL | FW-CORE-02 | 103.25.206.88 | 10.10.100.8 | 0 | 80 | TCP | DENY | RULE-WAF-BLOCK | 0 | WAF blocked SQL injection attempt on public web server. Signature: SQLI-UNION-SELECT. GEO: IN-Mumbai.
2025-07-14T06:38:12.441Z | FW-2028 | HIGH | FW-CORE-01 | 10.10.8.77 | 10.10.20.10 | 55100 | 5985 | TCP | DENY | RULE-WINRM-BLOCK | 0 | WinRM connection attempt from dev workstation to DC. Action: BLOCKED. Rule: LATERAL-RESTRICT-001.
2025-07-14T06:40:00.112Z | FW-2001 | INFO | FW-CORE-01 | 10.10.2.67 | 10.10.50.10 | 64001 | 443 | TCP | ALLOW | RULE-INT-001 | 4096 | HTTPS intranet. Normal.
2025-07-14T06:41:33.334Z | FW-2029 | WARNING | FW-CORE-02 | 10.10.6.33 | 104.18.22.47 | 56000 | 443 | TCP | ALLOW | RULE-WEB-BROWSE | 8192 | HTTPS to Cloudflare-hosted domain. Normal web browsing.
2025-07-14T06:43:00.882Z | FW-2030 | CRITICAL | FW-CORE-01 | 10.10.3.201 | 45.152.66.201 | 52201 | 8080 | TCP | DENY | RULE-EGRESS-BLOCK | 0 | 2nd beacon attempt to known malicious IP. 30-min interval. Beaconing pattern confirmed. INCIDENT: INC-20250714-0071
