2025-07-14T06:01:12.334Z | EVT-1001 | INFO | 10.10.1.45 | jsmith | WS-FINANCE-014 | LOGIN_SUCCESS | User authenticated via Kerberos. MFA: TOTP_VERIFIED. Session: S-4821A
2025-07-14T06:47:14.882Z | EVT-1015 | HIGH | 10.10.3.201 | cfoster | WS-IT-033 | GOLDEN_TICKET_INDICATOR | Kerberos TGT with anomalous lifetime (999 years) detected. Possible Golden Ticket attack. User: cfoster. Forwarded to Threat Intel.
2025-07-14T06:49:00.334Z | EVT-1016 | WARNING | 10.10.7.88 | sbrown | SRV-APPSVR-05 | CONCURRENT_SESSION | User 'sbrown' has 4 concurrent active sessions from different IPs: 10.10.7.88, 10.10.7.91, 10.10.9.44, 192.168.50.22. Anomaly score: HIGH
2025-07-14T06:50:22.441Z | EVT-1001 | INFO | 10.10.2.67 | nrobinson | WS-HR-011 | LOGIN_SUCCESS | User authenticated via Kerberos. MFA: PUSH_VERIFIED. Session: S-4830J
2025-07-14T06:52:34.009Z | EVT-1006 | CRITICAL | 91.108.56.130 | ubuntu | LINUX-SRV-PROD-07 | SSH_BRUTE_FORCE | SSH brute force detected. 143 failed attempts in 90 sec. Source blocked by IPS. GEO: IR-Tehran
2025-07-14T06:54:00.224Z | EVT-1017 | WARNING | 10.10.6.33 | klee | WS-FINANCE-008 | INACTIVE_ACCT_LOGIN | Login from account inactive for 47 days. Policy requires review after 30 days. User: klee. Manager notified.
2025-07-14T06:56:15.334Z | EVT-1001 | INFO | 10.10.5.88 | owhite | WS-DEV-019 | LOGIN_SUCCESS | User authenticated via Kerberos. MFA: TOTP_VERIFIED. Session: S-4831K
2025-07-14T06:58:45.778Z | EVT-1018 | CRITICAL | 10.10.5.201 | svc_backup | DC-AUTHSRV-01 | DCSYNC_DETECTED | DCSync attack detected! 'svc_backup' requested replication privileges. Credential harvesting likely. Action: ISOLATE_ENDPOINT. INCIDENT: INC-20250714-0067
2025-07-14T07:00:01.334Z | EVT-1001 | INFO | 10.10.1.120 | dkimura | WS-LEGAL-007 | LOGIN_SUCCESS | User authenticated via Kerberos. MFA: PUSH_VERIFIED. Session: S-4832L
2025-07-14T07:02:22.009Z | EVT-1019 | HIGH | 172.16.0.45 | guest | SRV-FILESVR-01 | GUEST_ACCESS_ATTEMPT | Guest account attempted access to \\SRV-FILESVR-01\CONFIDENTIAL. Action: DENIED. Rule: ACC-003
2025-07-14T07:04:10.556Z | EVT-1007 | WARNING | 10.10.4.200 | agreen | DC-AUTHSRV-01 | LOGIN_FAIL | Kerberos pre-auth failed. Reason: CLOCK_SKEW. Attempt: 1/3. Time delta > 5 min.
2025-07-14T07:06:00.334Z | EVT-1001 | INFO | 10.10.8.44 | fmiller | WS-SALES-028 | LOGIN_SUCCESS | User authenticated via LDAP. MFA: SMS_VERIFIED. Session: S-4833M
